магазин,дата парсинга,наименование,цена
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное ПРОСТОКВАШИНО 2,5%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное РОСКАР Экстра СО столовое,"139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог МЗ ПИСКАРЕВСКИЙ 5%, без змж","104,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт TEOS Греческий 2%, без змж","61,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное 365 ДНЕЙ СО,"149,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сладкосливочное БРЕСТ-ЛИТОВСК Сливочное несоленое 82,5%, без змж","189,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное МЗ ПИСКАРЕВСКИЙ Пискарёвское 2,5%, без змж","77,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана МЗ ПИСКАРЕВСКИЙ 15%, без змж","124,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное МЗ ПИСКАРЕВСКИЙ Пискарёвское 2,5%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Подарочный набор детский КОНФИТРЕЙД Трубочки для молока Банан, шоколад, ваниль без змж","169,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир ПРОСТОКВАШИНО 2,5%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана БОЛЬШАЯ КРУЖКА 15%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное СИНЯВИНСКОЕ К завтраку СО столовое,"114,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное РОСКАР Экстра СО столовое,"204,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт питьевой AWAKE POWER Кокосовый Манго, апельсин, без змж","164,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное ЛЕНТА СО,"344,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное ВКУСНОТЕЕВО Традиционное 82,5%, без змж","199,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное ДОМИК В ДЕРЕВНЕ 3,2%, без змж","149,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ВКУСНОТЕЕВО 20%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ПРОСТОКВАШИНО 20%, без змж","97,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Закваска для кефира VIVO, без змж, 4x0","224,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные БОЛЬШАЯ КРУЖКА 20%, без змж","63,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир МЗ ПИСКАРЕВСКИЙ 1%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное СЕЛО ЗЕЛЕНОЕ 3,2%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные БОЛЬШАЯ КРУЖКА 20%, без змж","169,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биотворог для детского питания ТЕМА Классический 4,5%, без змж","32,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный СВИТЛОГОРЬЕ с ванилином 26%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Ацидобифилин МЗ ПИСКАРЕВСКИЙ сладкий 2,2%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог зерненый МЗ ПИСКАРЕВСКИЙ со сливками 6%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир МЗ ПИСКАРЕВСКИЙ 2,5%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог ПРОСТОКВАШИНО 5%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное ПРОСТОКВАШИНО 1,5%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное СИНЯВИНСКОЕ С1 столовое,"204,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ПРОСТОКВАШИНО 15%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное ЛЕНТА С1,"299,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ДОМИК В ДЕРЕВНЕ 15%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное СИНЯВИНСКОЕ К завтраку С1 столовое,"104,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана БОЛЬШАЯ КРУЖКА 10%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог ПРОСТОКВАШИНО 2%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт творожный ДАНИССИМО Браво с изысканным шоколадом 6,7%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное ЕШЬ ХОРОШЕЕ С1,"109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное КФХ ГЕОРГИЕВ 82,5%, без змж","399,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное СЕЛО ЗЕЛЕНОЕ 82,5%, без змж","179,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана МЗ ПИСКАРЕВСКИЙ 15%, без змж","65,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное ВКУСНОТЕЕВО Традиционное 82,5%, без змж","369,99"
